EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Over18,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,18,18-25,Yes,Travel_Rarely,Research & Development,3,Life Sciences,Average,Male,1,Laboratory Technician,Average,Single,1420,Y,No,13,Average,0,0,0,0,0.0
RM302,18,18-25,No,Travel_Rarely,Sales,10,Medical,Good,Female,1,Sales Representative,Average,Single,1200,Y,No,12,Average,0,0,0,0,0.0
RM458,18,18-25,Yes,Travel_Frequently,Sales,5,Marketing,Poor,Male,1,Sales Representative,Poor,Single,1878,Y,Yes,14,Average,0,0,0,0,0.0
RM728,18,18-25,No,Non_Travel,Research & Development,5,Life Sciences,Poor,Male,1,Research Scientist,Good,Single,1051,Y,No,15,Average,0,0,0,0,0.0
RM829,18,18-25,Yes,Non_Travel,Research & Development,8,Medical,Average,Male,1,Laboratory Technician,Average,Single,1904,Y,No,12,Average,0,0,0,0,0.0
RM973,18,18-25,No,Non_Travel,Research & Development,1,Life Sciences,Good,Female,1,Laboratory Technician,Good,Single,1611,Y,No,15,Average,0,0,0,0,0.0
RM1154,18,18-25,Yes,Travel_Frequently,Sales,3,Medical,Poor,Female,1,Sales Representative,Good,Single,1569,Y,Yes,12,Average,0,0,0,0,0.0
RM1312,18,18-25,No,Non_Travel,Research & Development,14,Medical,Poor,Female,1,Research Scientist,Average,Single,1514,Y,No,16,Average,0,0,0,0,0.0
RM128,19,18-25,Yes,Travel_Rarely,Sales,22,Marketing,Good,Male,1,Sales Representative,Average,Single,1675,Y,Yes,19,Average,0,0,0,0,0.0
RM150,19,18-25,No,Travel_Rarely,Research & Development,3,Medical,Poor,Female,1,Laboratory Technician,Poor,Single,1483,Y,No,14,Average,1,1,0,0,0.0
RM172,19,18-25,Yes,Travel_Frequently,Sales,1,Technical Degree,Average,Female,1,Sales Representative,Poor,Single,2325,Y,No,21,Good,1,0,0,0,0.0
RM178,19,18-25,Yes,Travel_Rarely,Research & Development,2,Life Sciences,Poor,Male,1,Laboratory Technician,Good,Single,1102,Y,No,22,Good,1,1,0,1,0.0
RM423,19,18-25,Yes,Travel_Rarely,Human Resources,2,Technical Degree,Poor,Male,1,Human Resources,Good,Single,2564,Y,No,12,Average,1,1,0,0,0.0
